Date,Open,High,Low,Close,Volume,Adj Close
15-05-2015,18251.9707,18272.7207,18215.07031,18272.56055,108220000,18272.56055
14-05-2015,18062.49023,18255.21094,18062.49023,18252.24023,91580000,18252.24023
13-05-2015,18070.36914,18132.78906,18039.19922,18060.49023,85180000,18060.49023
12-05-2015,18096.16016,18119.17969,17924.80078,18068.23047,89270000,18068.23047
11-05-2015,18187.7793,18199.94922,18089.10938,18105.16992,86050000,18105.16992
08-05-2015,17933.64063,18205.23047,17933.64063,18191.10938,94960000,18191.10938
07-05-2015,17840.25,17973.07031,17796.93945,17924.06055,80920000,17924.06055
06-05-2015,17934.81055,18019.75,17733.11914,17841.98047,100430000,17841.98047
05-05-2015,18062.5293,18086.00977,17905.71094,17928.19922,95340000,17928.19922
04-05-2015,18026.01953,18133.75977,18026.01953,18070.40039,86010000,18070.40039
01-05-2015,17859.26953,18028.89063,17859.26953,18024.06055,91700000,18024.06055
30-04-2015,18033.33008,18033.33008,17774.89063,17840.51953,129180000,17840.51953
29-04-2015,18093.68945,18096.46094,17953.68945,18035.5293,102080000,18035.5293
28-04-2015,18035.90039,18119.65039,17917.35938,18110.14063,124930000,18110.14063
27-04-2015,18097.89063,18175.56055,18024.66016,18037.9707,121110000,18037.9707
24-04-2015,18056.41992,18108.86914,18009.08008,18080.14063,119130000,18080.14063
23-04-2015,18031.90039,18133.0293,17966.76953,18058.68945,100240000,18058.68945
22-04-2015,17950.82031,18056.01953,17887.75977,18038.26953,91260000,18038.26953
21-04-2015,18034.23047,18109.69922,17929.63086,17949.58984,95180000,17949.58984
20-04-2015,17841.17969,18092.2207,17841.17969,18034.92969,103160000,18034.92969
17-04-2015,18102.56055,18102.56055,17748.5293,17826.30078,138860000,17826.30078
16-04-2015,18106.26953,18169.25977,18063.85938,18105.76953,89520000,18105.76953
15-04-2015,18045.71094,18160.51953,18045.71094,18112.60938,113610000,18112.60938
14-04-2015,17979.10938,18075.59961,17905.48047,18036.69922,82830000,18036.69922
13-04-2015,18052.32031,18107.57031,17974.81055,17977.03906,120090000,17977.03906
10-04-2015,17956.73047,18066.75977,17945.55078,18057.65039,116410000,18057.65039
09-04-2015,17902.50977,17984.2207,17823.09961,17958.73047,86740000,17958.73047
08-04-2015,17877.61914,17976.19922,17822.23047,17902.50977,76820000,17902.50977
07-04-2015,17884.32031,17983.11914,17871.21094,17875.41992,72150000,17875.41992
06-04-2015,17755.5,17941.78906,17646.80078,17880.84961,100850000,17880.84961
02-04-2015,17699.51953,17815.0293,17673.49023,17763.24023,87370000,17763.24023
01-04-2015,17778.51953,17778.51953,17585.00977,17698.17969,103360000,17698.17969
31-03-2015,17965.36914,17965.36914,17773.01953,17776.11914,119470000,17776.11914
30-03-2015,17727.48047,18008.64063,17727.48047,17976.31055,104040000,17976.31055
27-03-2015,17673.63086,17729.14063,17630.49023,17712.66016,103220000,17712.66016
26-03-2015,17716.26953,17759.50977,17579.26953,17678.23047,117740000,17678.23047
25-03-2015,18012.60938,18041.9707,17718.53906,17718.53906,106560000,17718.53906
24-03-2015,18110.86914,18149.24023,18010.43945,18011.14063,87190000,18011.14063
